review_id,review_text,lemmas,pos_tags
369314882,Amazing stay! The place felt very cozy for 4 guests. Check-in was smooth and the amenities were exactly what we needed.,"['amaze', 'stay', 'the', 'place', 'felt', 'very', 'cozy', 'for', 'guest', 'be', 'smooth', 'and', 'the', 'amenity', 'be', 'exactly', 'what', 'we', 'need']","['VBG', 'VB', 'DT', 'NN', 'VBD', 'RB', 'JJ', 'IN', 'NNS', 'VBD', 'JJ', 'CC', 'DT', 'NNS', 'VBD', 'RB', 'WP', 'PRP', 'VBD']"
490116563,It was okay for the price. Location in XIII Aurelia was convenient enough.,"['it', 'be', 'okay', 'for', 'the', 'price', 'location', 'in', 'xiii', 'aurelia', 'be', 'convenient', 'enough']","['PRP', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'NNP', 'IN', 'NNP', 'NNP', 'VBD', 'JJ', 'RB']"
582235668,"Loved every minute of it. Our superhost was super responsive and easy to communicate with. Great location in Venustiano Carranza, close to everything we needed in Mexico City. We would definitely book this entire apartment again.","['love', 'every', 'minute', 'of', 'it', 'our', 'superhost', 'be', 'super', 'responsive', 'and', 'easy', 'to', 'communicate', 'with', 'great', 'location', 'in', 'venustiano', 'carranza', 'close', 'to', 'everything', 'we', 'need', 'in', 'mexico', 'city', 'we', 'would', 'definitely', 'book', 'this', 'entire', 'apartment', 'again']","['VBN', 'DT', 'NN', 'IN', 'PRP', 'PRP$', 'NN', 'VBD', 'JJ', 'NN', 'CC', 'JJ', 'TO', 'VB', 'IN', 'NNP', 'NN', 'IN', 'NNP', 'NNP', 'RB', 'TO', 'NN', 'PRP', 'VBD', 'IN', 'NNP', 'NNP', 'PRP', 'MD', 'RB', 'NN', 'DT', 'JJ', 'NN', 'RB']"
68054683,"Decent stay overall. Some things could be improved, like cleanliness in the entire apartment.","['decent', 'stay', 'overall', 'some', 'thing', 'could', 'be', 'improve', 'like', 'cleanliness', 'in', 'the', 'entire', 'apartment']","['NNP', 'NN', 'RB', 'DT', 'NNS', 'MD', 'VB', 'VBN', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN']"
248483824,Reasonable for a short trip. Location in Long Island City was convenient enough.,"['reasonable', 'for', 'a', 'short', 'trip', 'location', 'in', 'long', 'island', 'city', 'be', 'convenient', 'enough']","['JJ', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'VBD', 'JJ', 'RB']"
155617131,Decent stay overall. It served its purpose for our stay in Paris.,"['decent', 'stay', 'overall', 'it', 'serve', 'it', 'purpose', 'for', 'our', 'stay', 'in', 'paris']","['NNP', 'NN', 'IN', 'PRP', 'VBD', 'PRP$', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'NNP']"
710244614,"Nothing special, but fine. Our superhost was polite but slow to respond a couple of times. Some things could be improved, like cleanliness in the entire apartment.","['nothing', 'special', 'but', 'fine', 'our', 'superhost', 'be', 'polite', 'but', 'slow', 'to', 'respond', 'a', 'couple', 'of', 'time', 'some', 'thing', 'could', 'be', 'improve', 'like', 'cleanliness', 'in', 'the', 'entire', 'apartment']","['VBG', 'JJ', 'CC', 'JJ', 'PRP$', 'NN', 'VBD', 'JJ', 'CC', 'JJ', 'TO', 'VB', 'DT', 'NN', 'IN', 'NNS', 'DT', 'NNS', 'MD', 'VB', 'VBN', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN']"
299174484,We had a rough experience. The location in Enclos-St-Laurent was noisier than expected. We had several issues during our stay that were never resolved. Check-in was confusing and delayed our arrival in Paris.,"['we', 'have', 'a', 'rough', 'experience', 'the', 'location', 'in', 'be', 'noisy', 'than', 'expect', 'we', 'have', 'several', 'issue', 'during', 'our', 'stay', 'that', 'be', 'never', 'resolve', 'be', 'confuse', 'and', 'delay', 'our', 'arrival', 'in', 'paris']","['PRP', 'VBD', 'DT', 'JJ', 'NN', 'DT', 'NN', 'IN', 'VBD', 'JJR', 'IN', 'VBN', 'PRP', 'VBD', 'JJ', 'NNS', 'IN', 'PRP$', 'NN', 'WDT', 'VBD', 'RB', 'VBN', 'VBD', 'VBG', 'CC', 'VB', 'PRP$', 'NN', 'IN', 'NNP']"
22136604,"Perfect for our trip. Check-in was smooth and the amenities were exactly what we needed. The place felt very cozy for 8 guests. Great location in Buttes-Montmartre, close to everything we needed in Paris.","['perfect', 'for', 'our', 'trip', 'be', 'smooth', 'and', 'the', 'amenity', 'be', 'exactly', 'what', 'we', 'need', 'the', 'place', 'felt', 'very', 'cozy', 'for', 'guest', 'great', 'location', 'in', 'close', 'to', 'everything', 'we', 'need', 'in', 'paris']","['NN', 'IN', 'PRP$', 'NN', 'VBD', 'JJ', 'CC', 'DT', 'NNS', 'VBD', 'RB', 'WP', 'PRP', 'VBD', 'DT', 'NN', 'VBD', 'RB', 'JJ', 'IN', 'NNS', 'NNP', 'NN', 'IN', 'JJ', 'TO', 'NN', 'PRP', 'VBD', 'IN', 'NNP']"
469473761,Would not recommend. The private room in house was not as clean as the photos suggested. We had several issues during our stay that were never resolved.,"['would', 'not', 'recommend', 'the', 'private', 'room', 'in', 'house', 'be', 'not', 'as', 'clean', 'a', 'the', 'photo', 'suggest', 'we', 'have', 'several', 'issue', 'during', 'our', 'stay', 'that', 'be', 'never', 'resolve']","['MD', 'RB', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NN', 'VBD', 'RB', 'RB', 'JJ', 'IN', 'DT', 'NNS', 'VBD', 'PRP', 'VBD', 'JJ', 'NNS', 'IN', 'PRP$', 'NN', 'WDT', 'VBD', 'RB', 'VBN']"
